YEAR,SEAS,LINE,MILL STYLE,ORDER,TICKET,DUE DATE,CODE,WOVN,PCS,Date,Yds,Un.,Description,Loom
2015,FALL,HOME,738-22554-1,40738, 67111-5,08/07/15,DW ,1,1,07/15/15,40,0,MF ACADIA PARK Q   ,01
2015,FALL,HOME,738-23306-1,40738, 67141-2,08/28/15,DW ,1,1,07/16/15,32.1,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40738, 67142-0,08/28/15,DW ,1,1,07/16/15,32.1,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40738, 67143-8,08/28/15,DW ,1,1,07/17/15,31,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40738, 67144-6,08/28/15,DW ,1,1,07/17/15,31,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40738, 67145-3,08/28/15,DW ,1,1,07/20/15,32,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40738, 67146-1,08/28/15,DW ,1,1,07/20/15,32,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40738, 67147-9,08/28/15,DW ,1,1,07/20/15,30.5,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40738, 67148-7,08/28/15,DW ,1,1,07/20/15,30.5,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40738, 67149-5,08/28/15,DW ,1,1,07/20/15,32,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40738, 67150-3,08/28/15,DW ,1,1,07/21/15,32,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40738, 67151-1,08/28/15,DW ,1,1,07/21/15,32,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40738, 67152-9,08/28/15,DW ,1,1,07/21/15,32,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40738, 67153-7,08/28/15,DW ,1,1,07/21/15,32,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40738, 67154-5,08/28/15,DW ,1,1,07/21/15,32,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40738, 67155-2,08/28/15,DW ,1,1,07/22/15,32,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40738, 67156-0,08/28/15,DW ,1,1,07/22/15,32,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-22556-1,40738, 67159-4,08/28/15,DW ,1,1,07/15/15,32,0,MF GRND CAN PK Q   ,01
2015,FALL,HOME,738-22556-1,40738, 67160-2,08/28/15,DW ,1,1,07/15/15,32,0,MF GRND CAN PK Q   ,01
2015,FALL,HOME,738-22556-1,40738, 67161-0,08/28/15,DW ,1,1,07/15/15,32,0,MF GRND CAN PK Q   ,01
2015,FALL,HOME,738-22556-1,40738, 67162-8,08/28/15,DW ,1,1,07/15/15,32,0,MF GRND CAN PK Q   ,01
2015,FALL,HOME,738-22556-1,40738, 67163-6,08/28/15,DW ,1,1,07/15/15,32,0,MF GRND CAN PK Q   ,01
2015,FALL,HOME,738-22556-1,40738, 67164-4,08/28/15,DW ,1,1,07/16/15,32,0,MF GRND CAN PK Q   ,01
2015,FALL,HOME,738-23463-1,40739, 67165-1,09/04/15,DW ,1,1,07/24/15,31.5,0,MF SMOKEY MTN      ,01
2015,FALL,HOME,738-23463-1,40739, 67166-9,09/04/15,DW ,1,1,07/24/15,31.5,0,MF SMOKEY MTN      ,01
2015,FALL,HOME,738-23463-1,40739, 67167-7,09/04/15,DW ,1,1,07/27/15,32.5,0,MF SMOKEY MTN      ,01
2015,FALL,HOME,738-23463-1,40739, 67168-5,09/04/15,DW ,1,1,07/27/15,32.5,0,MF SMOKEY MTN      ,01
2015,FALL,HOME,738-23463-1,40739, 67169-3,09/04/15,DW ,1,1,07/27/15,32,0,MF SMOKEY MTN      ,01
2015,FALL,HOME,738-23463-1,40739, 67170-1,09/04/15,DW ,1,1,07/27/15,32,0,MF SMOKEY MTN      ,01
2015,FALL,HOME,738-23463-1,40739, 67171-9,09/04/15,DW ,1,1,07/28/15,31,0,MF SMOKEY MTN      ,01
2015,FALL,HOME,738-23463-1,40739, 67172-7,09/04/15,DW ,1,1,07/28/15,31,0,MF SMOKEY MTN      ,01
2015,FALL,HOME,738-23463-1,40739, 67173-5,09/04/15,DW ,1,1,07/29/15,30,0,MF SMOKEY MTN      ,01
2015,FALL,HOME,738-23463-1,40739, 67174-3,09/04/15,DW ,1,1,07/29/15,30,0,MF SMOKEY MTN      ,01
2015,FALL,HOME,738-23463-1,40739, 67175-0,09/04/15,DW ,1,1,07/30/15,32,0,MF SMOKEY MTN      ,01
2015,FALL,HOME,738-23463-1,40739, 67176-8,09/04/15,DW ,1,1,07/30/15,32,0,MF SMOKEY MTN      ,01
2015,FALL,HOME,738-23463-1,40739, 67177-6,09/04/15,DW ,1,1,07/30/15,33.5,0,MF SMOKEY MTN      ,01
2015,FALL,HOME,738-23463-1,40739, 67178-4,09/04/15,DW ,1,1,07/31/15,33.5,0,MF SMOKEY MTN      ,01
2015,FALL,HOME,738-23463-1,40739, 67179-2,09/04/15,DW ,1,1,07/31/15,32,0,MF SMOKEY MTN      ,01
2015,FALL,HOME,738-23463-1,40739, 67180-0,09/04/15,DW ,1,1,07/31/15,32,0,MF SMOKEY MTN      ,01
2015,FALL,HOME,738-22556-1,40739, 67181-8,09/04/15,DW ,1,1,07/22/15,32,0,MF GRND CAN PK Q   ,01
2015,FALL,HOME,738-22556-1,40739, 67182-6,09/04/15,DW ,1,1,07/22/15,32,0,MF GRND CAN PK Q   ,01
2015,FALL,HOME,738-22556-1,40739, 67183-4,09/04/15,DW ,1,1,07/23/15,32,0,MF GRND CAN PK Q   ,01
2015,FALL,HOME,738-22556-1,40739, 67184-2,09/04/15,DW ,1,1,07/23/15,32,0,MF GRND CAN PK Q   ,01
2015,FALL,HOME,738-22556-1,40739, 67185-9,09/04/15,DW ,1,1,07/23/15,29.3,0,MF GRND CAN PK Q   ,01
2015,FALL,HOME,738-22556-1,40739, 67186-7,09/04/15,DW ,1,1,07/23/15,29.3,0,MF GRND CAN PK Q   ,01
2015,FALL,HOME,738-22556-1,40739, 67187-5,09/04/15,DW ,1,1,07/24/15,33.3,0,MF GRND CAN PK Q   ,01
2015,FALL,HOME,738-22556-1,40739, 67188-3,09/04/15,DW ,1,1,07/24/15,33.3,0,MF GRND CAN PK Q   ,01
2015,T/S ,MISC,8032-18951-S97,40797, 68049-6,08/28/15,   ,1,1,08/25/15,77.5,0,M2 CHARCOAL MIX    ,01
2015,FALL,HOME,738-22555-1,40804, 68582-6,08/28/15,DW ,1,1,08/06/15,28.5,0,MF RAINIER PK Q    ,01
2015,FALL,HOME,738-22555-1,40804, 68583-4,08/28/15,DW ,1,1,08/07/15,28.5,0,MF RAINIER PK Q    ,01
2015,FALL,HOME,738-22555-1,40804, 68584-2,08/28/15,DW ,1,1,08/07/15,29.7,0,MF RAINIER PK Q    ,01
2015,FALL,HOME,738-22555-1,40804, 68585-9,08/28/15,DW ,1,1,08/07/15,29.7,0,MF RAINIER PK Q    ,01
2015,FALL,HOME,738-22555-1,40804, 68586-7,08/28/15,DW ,1,1,08/17/15,32.3,0,MF RAINIER PK Q    ,01
2015,FALL,HOME,738-22555-1,40804, 68587-5,08/28/15,DW ,1,1,08/17/15,33.5,0,MF RAINIER PK Q    ,01
2015,FALL,HOME,738-22555-1,40804, 68588-3,08/28/15,DW ,1,1,08/17/15,33.5,0,MF RAINIER PK Q    ,01
2015,FALL,HOME,738-22555-1,40804, 68589-1,08/28/15,DW ,1,1,08/17/15,33.5,0,MF RAINIER PK Q    ,01
2015,FALL,HOME,738-22555-1,40804, 68590-9,08/28/15,DW ,1,1,08/18/15,32,0,MF RAINIER PK Q    ,01
2015,FALL,HOME,738-22555-1,40804, 68591-7,08/28/15,DW ,1,1,08/18/15,32,0,MF RAINIER PK Q    ,01
2015,FALL,HOME,738-22555-1,40804, 68592-5,08/28/15,DW ,1,1,08/19/15,32,0,MF RAINIER PK Q    ,01
2015,FALL,HOME,738-22555-1,40804, 68593-3,08/28/15,DW ,1,1,08/19/15,32,0,MF RAINIER PK Q    ,01
2015,FALL,HOME,738-22555-1,40804, 68594-1,08/28/15,DW ,1,1,08/19/15,32.4,0,MF RAINIER PK Q    ,01
2015,FALL,HOME,738-22555-1,40804, 68595-8,08/28/15,DW ,1,1,08/19/15,32.4,0,MF RAINIER PK Q    ,01
2015,FALL,HOME,738-22555-1,40804, 68596-6,08/28/15,DW ,1,1,08/20/15,32.8,0,MF RAINIER PK Q    ,01
2015,FALL,HOME,738-22555-1,40804, 68597-4,08/28/15,DW ,1,1,08/20/15,32.8,0,MF RAINIER PK Q    ,01
2015,FALL,HOME,738-18281-1,40804, 68598-2,08/28/15,DW ,1,1,08/21/15,31.6,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40804, 68599-0,08/28/15,DW ,1,1,08/21/15,31.6,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40804, 68600-6,08/28/15,DW ,1,1,08/21/15,33,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40804, 68601-4,08/28/15,DW ,1,1,08/21/15,33,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40804, 68602-2,08/28/15,DW ,1,1,08/21/15,28,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40804, 68603-0,08/28/15,DW ,1,1,08/24/15,28,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40804, 68604-8,08/28/15,DW ,1,1,08/24/15,33,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40804, 68605-5,08/28/15,DW ,1,1,08/24/15,33,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40804, 68606-3,08/28/15,DW ,1,1,08/26/15,32,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40804, 68607-1,08/28/15,DW ,1,1,08/26/15,32,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40804, 68608-9,08/28/15,DW ,1,1,08/25/15,30.3,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40804, 68609-7,08/28/15,DW ,1,1,08/31/15,30.3,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40804, 68610-5,08/28/15,DW ,1,1,08/26/15,31.5,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40804, 68611-3,08/28/15,DW ,1,1,08/26/15,31.5,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40804, 68612-1,08/28/15,DW ,1,1,08/26/15,32,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40804, 68613-9,08/28/15,DW ,1,1,08/26/15,32,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-21844-1,40804, 68614-7,09/04/15,DW ,1,1,08/27/15,34,0,MF YELLOWSTONE Q   ,01
2015,FALL,HOME,738-21844-1,40804, 68615-4,09/04/15,DW ,1,1,08/27/15,34,0,MF YELLOWSTONE Q   ,01
2015,FALL,HOME,738-21844-1,40804, 68616-2,09/04/15,DW ,1,1,08/28/15,28.1,0,MF YELLOWSTONE Q   ,01
2015,FALL,HOME,738-21844-1,40804, 68617-0,09/04/15,DW ,1,1,08/28/15,28.1,0,MF YELLOWSTONE Q   ,01
2015,FALL,HOME,738-21844-1,40804, 68618-8,09/04/15,DW ,1,1,08/28/15,33.6,0,MF YELLOWSTONE Q   ,01
2015,FALL,HOME,738-21844-1,40804, 68619-6,09/04/15,DW ,1,1,08/28/15,33.6,0,MF YELLOWSTONE Q   ,01
2015,FALL,HOME,738-21844-1,40804, 68620-4,09/04/15,DW ,1,1,08/31/15,32,0,MF YELLOWSTONE Q   ,01
2015,FALL,HOME,738-21844-1,40804, 68621-2,09/04/15,DW ,1,1,08/31/15,32,0,MF YELLOWSTONE Q   ,01
2015,FALL,HOME,738-21844-1,40804, 68622-0,09/04/15,DW ,1,1,08/31/15,32,0,MF YELLOWSTONE Q   ,01
2015,FALL,HOME,738-21844-1,40804, 68623-8,09/04/15,DW ,1,1,08/31/15,32,0,MF YELLOWSTONE Q   ,01
2015,FALL,HOME,738-21844-1,40804, 68624-6,09/04/15,DW ,1,1,09/01/15,32,0,MF YELLOWSTONE Q   ,01
2015,FALL,HOME,738-21844-1,40804, 68625-3,09/04/15,DW ,1,1,09/01/15,32,0,MF YELLOWSTONE Q   ,01
2015,FALL,HOME,738-21844-1,40804, 68626-1,09/04/15,DW ,1,1,09/02/15,32,0,MF YELLOWSTONE Q   ,01
2015,FALL,HOME,738-21844-1,40804, 68627-9,09/04/15,DW ,1,1,09/02/15,32,0,MF YELLOWSTONE Q   ,01
2015,FALL,HOME,738-21844-1,40804, 68628-7,09/04/15,DW ,1,1,09/02/15,32,0,MF YELLOWSTONE Q   ,01
2015,FALL,HOME,738-21844-1,40804, 68629-5,09/04/15,DW ,1,1,09/02/15,32,0,MF YELLOWSTONE Q   ,01
2015,FALL,HOME,738-19443-1,40804, 68630-3,09/11/15,DW ,1,1,09/10/15,32,0,MF YOSEMITE PK Q   ,01
2015,FALL,HOME,738-19443-1,40804, 68631-1,09/11/15,DW ,1,1,09/10/15,32,0,MF YOSEMITE PK Q   ,01
2015,FALL,HOME,738-19443-1,40804, 68632-9,09/11/15,DW ,1,1,09/11/15,32.3,0,MF YOSEMITE PK Q   ,01
2015,FALL,HOME,738-19443-1,40804, 68633-7,09/11/15,DW ,1,1,09/11/15,32.3,0,MF YOSEMITE PK Q   ,01
2015,FALL,HOME,738-19443-1,40804, 68634-5,09/11/15,DW ,1,1,09/11/15,32.2,0,MF YOSEMITE PK Q   ,01
2015,FALL,HOME,738-19443-1,40804, 68635-2,09/11/15,DW ,1,1,09/11/15,32.2,0,MF YOSEMITE PK Q   ,01
2015,FALL,HOME,738-19443-1,40804, 68636-0,09/11/15,DW ,1,1,09/14/15,31.2,0,MF YOSEMITE PK Q   ,01
2015,FALL,HOME,738-19443-1,40804, 68637-8,09/11/15,DW ,1,1,09/14/15,31.2,0,MF YOSEMITE PK Q   ,01
2015,FALL,HOME,738-19443-1,40804, 68638-6,09/11/15,DW ,1,1,09/14/15,37,0,MF YOSEMITE PK Q   ,01
2015,FALL,HOME,738-19443-1,40804, 68639-4,09/11/15,DW ,1,1,09/14/15,37,0,MF YOSEMITE PK Q   ,01
2015,FALL,HOME,738-19443-1,40804, 68640-2,09/11/15,DW ,1,1,09/15/15,28.5,0,MF YOSEMITE PK Q   ,01
2015,FALL,HOME,738-19443-1,40804, 68641-0,09/11/15,DW ,1,1,09/15/15,28.5,0,MF YOSEMITE PK Q   ,01
2015,FALL,HOME,738-19443-1,40804, 68642-8,09/11/15,DW ,1,1,09/16/15,32.2,0,MF YOSEMITE PK Q   ,01
2015,FALL,HOME,738-19443-1,40804, 68643-6,09/11/15,DW ,1,1,09/16/15,32.2,0,MF YOSEMITE PK Q   ,01
2015,FALL,HOME,738-19443-1,40804, 68644-4,09/11/15,DW ,1,1,09/15/15,32.2,0,MF YOSEMITE PK Q   ,01
2015,FALL,HOME,738-19443-1,40804, 68645-1,09/11/15,DW ,1,1,09/15/15,32.2,0,MF YOSEMITE PK Q   ,01
2015,FALL,HOME,738-22800-1,40805, 68646-9,09/11/15,DW ,1,1,09/03/15,31,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40805, 68647-7,09/11/15,DW ,1,1,09/03/15,31,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40805, 68648-5,09/11/15,DW ,1,1,09/03/15,32,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40805, 68649-3,09/11/15,DW ,1,1,09/03/15,32,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40805, 68650-1,09/11/15,DW ,1,1,09/04/15,32.3,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40805, 68651-9,09/11/15,DW ,1,1,09/04/15,32.3,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40805, 68652-7,09/11/15,DW ,1,1,09/04/15,32.2,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40805, 68653-5,09/11/15,DW ,1,1,09/04/15,32.2,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40805, 68654-3,09/11/15,DW ,1,1,09/08/15,29.5,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40805, 68655-0,09/11/15,DW ,1,1,09/08/15,29.5,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40805, 68656-8,09/11/15,DW ,1,1,09/08/15,33.2,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40805, 68657-6,09/11/15,DW ,1,1,09/08/15,33.2,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40805, 68658-4,09/11/15,DW ,1,1,09/09/15,29.5,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40805, 68659-2,09/11/15,DW ,1,1,09/09/15,29.5,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40805, 68660-0,09/11/15,DW ,1,1,09/10/15,33.2,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40805, 68661-8,09/11/15,DW ,1,1,09/10/15,33.2,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-23306-1,40805, 68662-6,09/18/15,DW ,1,1,08/03/15,30.5,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40805, 68663-4,09/18/15,DW ,1,1,08/03/15,30.5,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40805, 68664-2,09/18/15,DW ,1,1,08/04/15,32.5,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40805, 68665-9,09/18/15,DW ,1,1,08/04/15,32.5,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40805, 68666-7,09/18/15,DW ,1,1,08/04/15,32.3,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40805, 68667-5,09/18/15,DW ,1,1,08/04/15,32.3,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40805, 68668-3,09/18/15,DW ,1,1,08/04/15,32,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40805, 68669-1,09/18/15,DW ,1,1,08/04/15,32,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40805, 68670-9,09/18/15,DW ,1,1,08/05/15,30.8,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40805, 68671-7,09/18/15,DW ,1,1,08/05/15,30.8,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40805, 68672-5,09/18/15,DW ,1,1,08/05/15,32.3,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40805, 68673-3,09/18/15,DW ,1,1,08/05/15,32.3,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40805, 68674-1,09/18/15,DW ,1,1,08/06/15,44,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40805, 68675-8,09/18/15,DW ,1,1,09/25/15,32,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40805, 68676-6,09/18/15,DW ,1,1,09/25/15,32,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-23306-1,40805, 68677-4,09/18/15,DW ,1,1,09/25/15,30,0,MF ROCKY MTN QN    ,01
2015,FALL,HOME,738-18281-1,40910, 69719-3,10/02/15,DW ,1,1,09/17/15,32.3,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40910, 69720-1,10/02/15,DW ,1,1,09/17/15,32.3,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40910, 69721-9,10/02/15,DW ,1,1,09/17/15,32,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40910, 69722-7,10/02/15,DW ,1,1,09/17/15,32,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40910, 69723-5,10/02/15,DW ,1,1,09/17/15,32,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40910, 69724-3,10/02/15,DW ,1,1,09/17/15,32,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40910, 69725-0,10/02/15,DW ,1,1,09/18/15,32,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40910, 69726-8,10/02/15,DW ,1,1,09/18/15,32,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40910, 69727-6,10/02/15,DW ,1,1,09/18/15,31.8,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40910, 69728-4,10/02/15,DW ,1,1,09/18/15,31.8,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40910, 69729-2,10/02/15,DW ,1,1,09/18/15,31.5,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40910, 69730-0,10/02/15,DW ,1,1,09/18/15,31.5,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40910, 69731-8,10/02/15,DW ,1,1,09/21/15,30.5,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40910, 69732-6,10/02/15,DW ,1,1,09/21/15,30.5,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40910, 69733-4,10/02/15,DW ,1,1,09/21/15,32.7,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-18281-1,40910, 69734-2,10/02/15,DW ,1,1,09/21/15,32.7,0,MF GLACIER PRK Q   ,01
2015,FALL,HOME,738-22800-1,40910, 69735-9,10/09/15,DW ,1,1,09/28/15,32,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40910, 69736-7,10/09/15,DW ,1,1,09/28/15,32,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40910, 69737-5,10/09/15,DW ,1,1,09/28/15,30.8,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40910, 69738-3,10/09/15,DW ,1,1,09/28/15,30.8,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40910, 69739-1,10/09/15,DW ,1,1,09/29/15,31.8,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40910, 69740-9,10/09/15,DW ,1,1,09/29/15,31.8,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40910, 69741-7,10/09/15,DW ,1,1,09/29/15,31.5,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40910, 69742-5,10/09/15,DW ,1,1,09/29/15,31.5,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40910, 69743-3,10/09/15,DW ,1,1,09/29/15,31.5,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40910, 69744-1,10/09/15,DW ,1,1,09/29/15,31.5,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40910, 69745-8,10/09/15,DW ,1,1,09/30/15,31.8,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40910, 69746-6,10/09/15,DW ,1,1,09/30/15,31.8,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40910, 69747-4,10/09/15,DW ,1,1,09/30/15,32,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40910, 69748-2,10/09/15,DW ,1,1,09/30/15,32,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40910, 69749-0,10/09/15,DW ,1,1,10/01/15,32,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22800-1,40910, 69750-8,10/09/15,DW ,1,1,10/01/15,32,0,MF BADLANDS QN     ,01
2015,FALL,HOME,738-22556-1,40910, 69751-6,10/16/15,DW ,1,1,10/12/15,42.3,0,MF GRND CAN PK Q   ,01
2015,FALL,HOME,738-22556-1,40910, 69752-4,10/16/15,DW ,1,1,10/12/15,42.3,0,MF GRND CAN PK Q   ,01
2015,FALL,HOME,738-22556-1,40910, 69753-2,10/16/15,DW ,1,1,10/13/15,44.6,0,MF GRND CAN PK Q   ,01
2015,FALL,HOME,738-22556-1,40910, 69754-0,10/16/15,DW ,1,1,10/13/15,44.6,0,MF GRND CAN PK Q   ,01
2015,FALL,HOME,738-22556-1,40910, 69755-7,10/16/15,DW ,1,1,10/13/15,35.3,0,MF GRND CAN PK Q   ,01
2015,FALL,HOME,738-22556-1,40910, 69756-5,10/16/15,DW ,1,1,10/13/15,35.3,0,MF GRND CAN PK Q   ,01
2015,FALL,HOME,738-22556-1,40910, 69757-3,10/16/15,DW ,1,1,10/14/15,34.9,0,MF GRND CAN PK Q   ,01
2015,FALL,HOME,738-22556-1,40910, 69758-1,10/16/15,DW ,1,1,10/14/15,34.9,0,MF GRND CAN PK Q   ,01
2015,FALL,HOME,738-22556-1,40910, 69759-9,10/16/15,DW ,1,1,10/14/15,33.6,0,MF GRND CAN PK Q   ,01
2015,FALL,HOME,738-22556-1,40910, 69760-7,10/16/15,DW ,1,1,10/14/15,33.6,0,MF GRND CAN PK Q   ,01
2015,FALL,HOME,738-22556-1,40910, 69761-5,10/16/15,DW ,1,1,10/14/15,30.8,0,MF GRND CAN PK Q   ,01
2015,FALL,HOME,738-22556-1,40910, 69762-3,10/16/15,DW ,1,1,10/15/15,30.8,0,MF GRND CAN PK Q   ,01
2015,FALL,HOME,738-22556-1,40910, 69763-1,10/16/15,DW ,1,1,10/15/15,30.3,0,MF GRND CAN PK Q   ,01
2015,FALL,HOME,738-22556-1,40910, 69764-9,10/16/15,DW ,1,1,10/15/15,30.3,0,MF GRND CAN PK Q   ,01
2015,FALL,HOME,738-22556-1,40910, 69765-6,10/16/15,DW ,1,1,10/16/15,30.5,0,MF GRND CAN PK Q   ,01
2015,FALL,HOME,738-22556-1,40910, 69766-4,10/16/15,DW ,1,1,10/16/15,30.5,0,MF GRND CAN PK Q   ,01
2015,FALL,HOME,738-19004-1,40910, 69767-2,10/16/15,DW ,1,1,10/01/15,30.5,0,MF CRATER LAKE Q   ,01
2015,FALL,HOME,738-19004-1,40910, 69768-0,10/16/15,DW ,1,1,10/01/15,30.5,0,MF CRATER LAKE Q   ,01
2015,FALL,HOME,738-19004-1,40910, 69769-8,10/16/15,DW ,1,1,10/01/15,31.7,0,MF CRATER LAKE Q   ,01
2015,FALL,HOME,738-19004-1,40910, 69770-6,10/16/15,DW ,1,1,10/02/15,31.7,0,MF CRATER LAKE Q   ,01
2015,FALL,HOME,738-19004-1,40910, 69771-4,10/16/15,DW ,1,1,10/02/15,30.3,0,MF CRATER LAKE Q   ,01
2015,FALL,HOME,738-19004-1,40910, 69772-2,10/16/15,DW ,1,1,10/02/15,30.3,0,MF CRATER LAKE Q   ,01
2015,FALL,HOME,738-19004-1,40910, 69773-0,10/16/15,DW ,1,1,10/02/15,31.9,0,MF CRATER LAKE Q   ,01
2015,FALL,HOME,738-19004-1,40910, 69774-8,10/16/15,DW ,1,1,10/05/15,31.9,0,MF CRATER LAKE Q   ,01
2015,FALL,HOME,738-19004-1,40910, 69775-5,10/16/15,DW ,1,1,10/05/15,30.5,0,MF CRATER LAKE Q   ,01
2015,FALL,HOME,738-19004-1,40910, 69776-3,10/16/15,DW ,1,1,10/05/15,30.5,0,MF CRATER LAKE Q   ,01
